event_id,event_date,year,month,max_wind_speed_kph,pagasa_category,central_pressure_hpa,total_rainfall_mm,storm_surge_potential_m,landfall_region,track_radius_km,duration_days
0,2021-11-10,2021,11,201.3,STY,445.0,584.6,7.0,region_1,68.3,2.4
1,2023-05-06,2023,5,110.6,STS,787.1,540.6,7.0,region_2,473.8,2.4
2,2023-06-22,2023,6,53.9,TD,937.0,315.2,2.43,region_5,179.9,1.0
3,2021-08-04,2021,8,86.4,TS,858.1,191.6,5.04,region_1,112.8,0.6
4,2023-11-04,2023,11,161.8,TY,607.3,478.9,7.0,region_3,222.0,1.5
5,2023-02-04,2023,2,97.5,STS,826.7,356.0,5.81,region_4,152.1,1.4
6,2021-06-18,2021,6,61.8,TD,919.6,20.0,2.74,region_2,44.5,1.0
7,2025-09-24,2025,9,59.0,TD,925.9,301.2,3.1,region_1,261.2,0.9
8,2022-08-05,2022,8,58.0,TD,928.2,397.9,2.68,region_5,36.8,0.9
9,2021-09-15,2021,9,59.2,TD,925.5,137.3,3.0,region_4,242.3,0.8
10,2021-01-11,2021,1,80.8,TS,873.1,27.3,4.93,region_5,119.0,1.3
11,2023-10-17,2023,10,126.9,TY,734.1,698.3,7.0,region_4,101.3,2.0
12,2024-08-18,2024,8,106.7,STS,799.0,413.0,6.62,region_4,61.0,1.9
13,2022-10-08,2022,10,70.2,TS,900.0,373.2,3.63,region_4,122.9,1.6
14,2024-12-17,2024,12,97.8,STS,825.7,104.6,6.45,region_4,146.5,1.0
15,2022-09-02,2022,9,74.9,TS,888.3,24.9,4.21,region_3,139.2,1.1
16,2021-02-14,2021,2,67.5,TS,906.5,310.7,3.51,region_5,118.0,1.0
17,2024-09-27,2024,9,61.4,TD,920.6,399.8,2.49,region_5,92.6,1.2
18,2024-08-25,2024,8,80.7,TS,873.4,79.0,4.37,region_2,157.3,1.1
19,2024-04-02,2024,4,73.6,TS,891.5,239.3,3.97,region_5,79.4,1.0
20,2023-06-02,2023,6,107.8,STS,795.8,91.6,6.71,region_2,98.5,1.8
21,2025-05-23,2025,5,76.2,TS,884.9,140.5,4.41,region_4,133.2,1.2
22,2025-11-06,2025,11,125.4,TY,739.2,392.5,7.0,region_5,104.4,1.6
23,2022-10-18,2022,10,97.9,STS,825.5,430.6,5.55,region_3,37.3,1.4
24,2024-09-15,2024,9,57.7,TD,928.8,20.0,2.54,region_1,118.8,1.2
25,2021-10-12,2021,10,79.6,TS,876.3,516.1,4.37,region_5,119.2,1.4
26,2021-09-09,2021,9,58.2,TD,927.8,172.9,2.7,region_4,112.9,1.5
27,2023-10-21,2023,10,66.1,TS,909.8,464.2,3.76,region_3,93.5,0.7
28,2024-06-07,2024,6,80.1,TS,875.0,406.0,4.67,region_5,83.7,1.3
29,2023-06-21,2023,6,50.2,TD,944.7,328.9,1.77,region_1,105.9,0.9
30,2021-09-07,2021,9,61.3,TD,920.8,578.3,2.53,region_3,61.7,0.9
31,2024-10-24,2024,10,107.1,STS,798.0,234.0,6.99,region_1,231.0,1.6
32,2024-10-19,2024,10,118.1,TY,763.0,437.9,7.0,region_1,135.1,1.9
33,2024-12-15,2024,12,160.1,TY,614.0,382.0,7.0,region_2,126.3,1.7
34,2024-10-03,2024,10,126.0,TY,736.9,422.7,7.0,region_3,17.2,2.1
35,2025-06-06,2025,6,87.5,TS,855.2,435.7,5.7,region_1,197.1,0.8
36,2022-06-18,2022,6,182.4,TY,525.2,841.3,7.0,region_3,56.1,2.2
37,2021-07-16,2021,7,168.3,TY,581.9,520.4,7.0,region_4,75.2,1.6
38,2023-09-03,2023,9,118.4,TY,762.2,197.5,7.0,region_1,71.1,1.3
39,2025-08-03,2025,8,107.5,STS,796.5,389.6,6.79,region_1,130.0,1.4
